Full Name,Team Number,Match ID,Crossed Auto Line?,Auto Installed in the Exchange?,Successful Auto Switch Installs,Failed Auto Switch Installs,Successful Auto Scale Installs,Failed Auto Scale Installs,Collects Cubes From,Succcessful Switch Installs,Failed Switch Installs,Successful Scale Installs,Failed Scale Installs,Successful Exchange Installs,Failed Exchange Installs,Drove on the Platform,Climbing,Let other robots climb on it,Tech Foul?,Defense comments,Comments,Submitted At,Token
ענב בר ניר,1574,QM 12,TRUE,FALSE,1,0,0,0,"Pyramid, Ground",1,1,3,1,0,0,TRUE,Failed,Failed,FALSE,לא הגן,אין,2018-03-05 13:17:59,7f4465b02ceaf9551de5201c1bde7921
יעל אמיתי,1574,QM 29,TRUE,FALSE,1,0,0,0,"Ground, Pyramid",0,0,3,0,6,0,TRUE,Successful,Didn't Try,FALSE,,הרובוט לא זז,2018-03-05 16:10:17,45b1af8c573eaaa16d2ded4b62740e2e
Stav Eyal,1574,QM15,TRUE,FALSE,0,1,0,0,"Ground, Pyramid",1,0,4,1,0,0,TRUE,Failed,Didn't Try,FALSE,,,2018-03-05 14:09:04,45f86e2b9db1b3c243df5aa1ee903a59
Saar Zelevski ,1574,QM21,TRUE,FALSE,1,0,0,0,"Ground, Pyramid",0,0,0,0,8,8,TRUE,Failed,Didn't Try,FALSE,,,2018-03-05 14:43:16,4efbd4a111df4799e28c0071957fe8ce
רני מלצר ,1574,QM27,TRUE,FALSE,1,0,0,0,Ground,1,0,4,0,1,0,TRUE,Successful,Failed,FALSE,לא הגן,"פאול רגיל אחד

פתח מוט לטפס נוסף, אף רובוט לא טיפס ",2018-03-05 16:16:28,7568eedfb371dfc3d45fdba2e149e6a7
רני מלצר,1574,QM6,TRUE,FALSE,0,0,0,1,Ground,0,0,5,1,0,0,TRUE,Successful,Failed,FALSE,מנעו מרובוט יריב לעבור אל הסוויטץ' שלו,,2018-03-05 12:20:38,66228825ce9bb2f46a7917c3afa338eb
רני מלצר,1574,QM6,TRUE,FALSE,0,0,0,1,Ground,0,0,5,1,0,0,TRUE,Successful,Failed,FALSE,מנעו מרובוט יריב לעבור אל הסוויטץ' שלו,,2018-03-05 12:20:38,66228825ce9bb2f46a7917c3afa338eb
סהר כספי,1574,QM39,TRUE,FALSE,1,0,0,0,"Ground, Pyramid",0,0,3,0,3,0,TRUE,Failed,Didn't Try,FALSE,,,2018-03-06 6:47:25,3cc43d8eb241b96b0f5b11432b3bb045
Saar Zelevski ,1574,QM44,TRUE,FALSE,0,0,0,0,Ground,0,0,5,0,0,0,TRUE,Successful,Didn't Try,FALSE,,,2018-03-06 7:30:16,47264bf9372c037dc707a91e7ccd1558
ענב בר ניר,1574,QM 49,TRUE,FALSE,1,0,0,0,"Ground, Pyramid",0,0,1,0,5,0,TRUE,Successful,Successful,FALSE,לא הגן,דיבאג טיפסו עליו!!!!,2018-03-06 8:15:38,7896b7f9b2d314b95ca95b06ae1669fd
