Full Name,Team Number,Match ID,Crossed Auto Line?,Auto Installed in the Exchange?,Successful Auto Switch Installs,Failed Auto Switch Installs,Successful Auto Scale Installs,Failed Auto Scale Installs,Collects Cubes From,Succcessful Switch Installs,Failed Switch Installs,Successful Scale Installs,Failed Scale Installs,Successful Exchange Installs,Failed Exchange Installs,Drove on the Platform,Climbing,Let other robots climb on it,Tech Foul?,Defense comments,Comments,Submitted At,Token
Saar Zelevski ,1573,PM4,TRUE,FALSE,0,0,0,0,"Ground, Pyramid",2,4,0,0,0,0,TRUE,Didn't Try,Didn't Try,FALSE,,,2018-03-12 9:21:54,c90a4fb4822f688d8e10bdbde2a240fc
Saar Zelevski ,1574,PM2,TRUE,FALSE,1,0,0,0,"Ground, Pyramid, Portal",4,0,2,0,2,0,TRUE,Didn't Try,Didn't Try,FALSE,,,2018-03-12 8:56:26,c7b7736f752acd0a41f193d0d4c231c7
Saar Zelevski ,1574,PM3,TRUE,FALSE,1,0,0,0,"Ground, Pyramid",4,0,2,0,2,0,TRUE,Successful,Didn't Try,FALSE,,,2018-03-12 9:11:29,1d2c6b6e3571dfed33c91a4f8ab4b087
דור,1657,PM3,TRUE,FALSE,0,0,1,0,"Ground, Pyramid",0,2,1,0,1,1,TRUE,Failed,Didn't Try,FALSE,,"רעש רע מהרובוט, נראה שנפגע במהלך המשחק",2018-03-12 9:14:20,ab4a5ee2864b29dd21c5c72d41470fde
Saar Zelevski ,1657,PM6,TRUE,FALSE,1,0,0,0,"Ground, Pyramid",3,0,1,1,2,0,FALSE,Didn't Try,Didn't Try,FALSE,,,2018-03-12 9:53:13,d3190ad5473d7465af0f0b28f8c3418e
Stav,1690,PM1,TRUE,FALSE,0,0,0,2,Ground,0,0,1,0,0,0,TRUE,Didn't Try,Didn't Try,FALSE,עשו counter defence,התפרק מנגנון האיסוף,2018-03-12 8:52:15,bc9a7f04004d93851b3390bc26e2b4da
Nir,2212,Pm2,TRUE,FALSE,1,0,0,0,Ground,0,1,0,1,0,0,TRUE,Didn't Try,Didn't Try,FALSE,,,2018-03-12 8:57:40,2a77fb591b5d41f7cbfce019be35b33f
דור,2230,PM2,FALSE,FALSE,0,0,0,0,"Ground, Pyramid",2,0,3,1,4,0,TRUE,Didn't Try,Didn't Try,FALSE,,"אחיזה חלשה בקוביה, נסיעה איטית",2018-03-12 8:57:28,211e3dbc90346c99243d66028ed53048
Ishai,2230,Pm3,TRUE,FALSE,0,0,0,0,Ground,1,0,3,2,0,0,FALSE,Didn't Try,Didn't Try,FALSE,Unstable when installing on the scale ,,2018-03-12 9:15:03,1a7c65377bfbc730262ddce886799f80
Nir,3034,Pm4,FALSE,FALSE,0,1,0,0,"Ground, Portal",2,0,2,2,1,0,FALSE,Didn't Try,Didn't Try,FALSE,,,2018-03-12 9:26:33,663bc132f5097962acd5e39ef008d960
ענב בר-ניר,3075,Pm 6,TRUE,FALSE,0,0,1,0,"Ground, Pyramid",0,0,4,0,2,0,TRUE,Successful,Didn't Try,FALSE,לא הגנו,שמו על סקייל היריב,2018-03-12 9:54:29,9e0cd3fbc7ece0da93739328594f3de7
Saar Zelevski ,3316,PM5,TRUE,FALSE,1,0,0,0,Ground,2,0,3,1,0,0,TRUE,Successful,Didn't Try,FALSE,,,2018-03-12 9:34:43,db02185cd3f8bd392342bab02f043ad4
Ishai ,4586,Pm4,TRUE,FALSE,1,0,0,0,"Ground, Pyramid",2,0,3,0,2,0,TRUE,Successful,Didn't Try,FALSE,Good driver ,,2018-03-12 9:24:37,7877476b5636522852cc7b22fe2ec49f
Nir,4590,Pm3,TRUE,FALSE,1,0,0,0,"Ground, Pyramid",1,0,0,0,0,0,TRUE,Failed,Didn't Try,FALSE,,,2018-03-12 9:11:39,54fbfdb8bf4023c71e4fbdb94e871075
Stav,5135,PM2,FALSE,FALSE,0,0,0,0,Ground,0,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,לא זז,2018-03-12 8:57:00,9304d609073d4d1c62c4496d0bb739b4
Stav,5636,PM5,TRUE,FALSE,0,0,0,0,Ground,1,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,חרא רובוט,2018-03-12 9:36:01,532a21fbc29315449ad99dfef0c78b22
Eylon Efraim ,5654,PM01,TRUE,FALSE,1,0,0,0,Ground,3,1,0,0,0,0,TRUE,Successful,Didn't Try,FALSE,,"אוטונומי איסוף נכשל, הרובוט איטי ולא יציב",2018-03-12 8:47:59,237a9132e52989b5ee5706c45dc13313
Nir,5990,Pm5,TRUE,FALSE,1,0,0,0,"Ground, Portal",3,1,0,0,0,0,TRUE,Successful,Didn't Try,FALSE,,,2018-03-12 9:35:28,86fa46c321aeade93328822e4a05c7f1
Eylon Efraim ,6049,PM02,FALSE,FALSE,0,0,0,0,Portal,0,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,לא הגיעו,2018-03-12 9:05:21,b9da40ef21dfc2b0b6ed79cfa8610fd2
דור,6104,PM4,FALSE,FALSE,0,0,0,0,Ground,0,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,לא נסעו,2018-03-12 9:23:26,c53390cebb80c83f00dff3686fd84c39
Stav,6736,PM3,FALSE,FALSE,0,0,0,0,Ground,0,0,0,0,2,0,FALSE,Didn't Try,Didn't Try,FALSE,,,2018-03-12 9:14:45,8b2e87440f8f639514d740ac53d4645e
רני מלצר ,6736,Qm3,true,false,,,,,Pyramid,0,0,0,0,4,0,false,Didn't Try,Didn't Try,false,לא הגן,"הגריפר נתקע בטקס צ'יינג לכמה שניות

פאול רגיל על גרירת קוביות",2018-03-12 11:22:45,3c4db6b2a02bf5e9784693a5fc9bd87b
Eylon Efraim ,6738,Pm04,TRUE,FALSE,0,0,0,0,Ground,1,4,1,3,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,באוטונומי הסתובב סביב עצמו פעמיים ואז עשה כמיטב יכולתו (ובהצלחה רבה) להרוס את האוטונומי של שני הרובוטים האחרים,2018-03-12 9:23:15,1a39b141477d0136ab60c492a32d3741
רני מלצר,6738,Pm6,TRUE,FALSE,0,0,0,0,Pyramid,3,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,לא היה על מי להגן,"אוטונומי השתגע

פאול רגיל אחד

קושי באיסוף",2018-03-12 9:54:02,c831052f7cc5e906f1a1344eaa78da40
Stav,7067,PM4,FALSE,FALSE,0,0,0,0,Ground,0,0,0,0,7,0,TRUE,Didn't Try,Didn't Try,FALSE,,,2018-03-12 9:24:24,85450ad1196d25e7306bcaf914fc4486
יובל ויינשטיין,7083,PM5,TRUE,FALSE,0,0,0,0,Ground,1,0,0,0,0,0,TRUE,Didn't Try,Didn't Try,FALSE,אין,מתעכב בהתקנות ובאיסוף,2018-03-12 9:36:28,211eabb2a6bd2f9d22aed6100a850a0b
יובל ויינשטיין,7112,PM6,TRUE,FALSE,0,0,0,0,Ground,2,0,0,0,1,0,TRUE,Failed,Didn't Try,FALSE,אין,"איטי
מתקשה באיסוף קוביות",2018-03-12 9:54:16,bac74923286d2195f92be8f559fc09a6
